,Year,County,Income Poverty Ratio Category,Not Insured
247,2010,Lawrence,<= 250% of Poverty,4777
248,2010,Lawrence,<= 138% of Poverty,2967
249,2010,Lawrence,<= 400% of Poverty,5755
250,2010,Lewis,All Incomes,1888
251,2010,Lewis,<= 200% of Poverty,1277
252,2010,Lewis,<= 250% of Poverty,1472
253,2010,Lewis,<= 138% of Poverty,928
254,2010,Lewis,<= 400% of Poverty,1756
255,2010,Lincoln,All Incomes,4167
256,2010,Lincoln,<= 200% of Poverty,2538
257,2010,Lincoln,<= 250% of Poverty,3031
258,2010,Lincoln,<= 138% of Poverty,1790
259,2010,Lincoln,<= 400% of Poverty,3752
260,2010,Loudon,All Incomes,6372
261,2010,Loudon,<= 200% of Poverty,3986
262,2010,Loudon,<= 250% of Poverty,4657
263,2010,Loudon,<= 138% of Poverty,2732
264,2010,Loudon,<= 400% of Poverty,5746
265,2010,McMinn,All Incomes,6979
266,2010,McMinn,<= 200% of Poverty,4588
267,2010,McMinn,<= 250% of Poverty,5345
268,2010,McMinn,<= 138% of Poverty,3316
269,2010,McMinn,<= 400% of Poverty,6400
270,2010,McNairy,All Incomes,3604
271,2010,McNairy,<= 200% of Poverty,2423
272,2010,McNairy,<= 250% of Poverty,2803
273,2010,McNairy,<= 138% of Poverty,1736
274,2010,McNairy,<= 400% of Poverty,3347
275,2010,Macon,All Incomes,3883
276,2010,Macon,<= 200% of Poverty,2695
277,2010,Macon,<= 250% of Poverty,3087
278,2010,Macon,<= 138% of Poverty,1969
279,2010,Macon,<= 400% of Poverty,3629
280,2010,Madison,All Incomes,12945
281,2010,Madison,<= 200% of Poverty,8377
282,2010,Madison,<= 250% of Poverty,9704
283,2010,Madison,<= 138% of Poverty,5999
284,2010,Madison,<= 400% of Poverty,11782
285,2010,Marion,All Incomes,3963
286,2010,Marion,<= 200% of Poverty,2553
287,2010,Marion,<= 250% of Poverty,2970
288,2010,Marion,<= 138% of Poverty,1834
289,2010,Marion,<= 400% of Poverty,3624
290,2010,Marshall,All Incomes,4836
291,2010,Marshall,<= 200% of Poverty,3211
292,2010,Marshall,<= 250% of Poverty,3755
293,2010,Marshall,<= 138% of Poverty,2295
294,2010,Marshall,<= 400% of Poverty,4462
295,2010,Maury,All Incomes,11035
296,2010,Maury,<= 200% of Poverty,6813
297,2010,Maury,<= 250% of Poverty,8072
298,2010,Maury,<= 138% of Poverty,4763
299,2010,Maury,<= 400% of Poverty,10023
300,2010,Meigs,All Incomes,1607
301,2010,Meigs,<= 200% of Poverty,1107
302,2010,Meigs,<= 250% of Poverty,1270
303,2010,Meigs,<= 138% of Poverty,819
304,2010,Meigs,<= 400% of Poverty,1484
305,2010,Monroe,All Incomes,6657
306,2010,Monroe,<= 200% of Poverty,4390
307,2010,Monroe,<= 250% of Poverty,5113
308,2010,Monroe,<= 138% of Poverty,3126
309,2010,Monroe,<= 400% of Poverty,6202
310,2010,Montgomery,All Incomes,21403
311,2010,Montgomery,<= 200% of Poverty,13823
312,2010,Montgomery,<= 250% of Poverty,15941
313,2010,Montgomery,<= 138% of Poverty,9539
314,2010,Montgomery,<= 400% of Poverty,19407
315,2010,Moore,All Incomes,785
316,2010,Moore,<= 200% of Poverty,498
317,2010,Moore,<= 250% of Poverty,591
318,2010,Moore,<= 138% of Poverty,354
319,2010,Moore,<= 400% of Poverty,711
320,2010,Morgan,All Incomes,2697
321,2010,Morgan,<= 200% of Poverty,1818
322,2010,Morgan,<= 250% of Poverty,2110
323,2010,Morgan,<= 138% of Poverty,1322
324,2010,Morgan,<= 400% of Poverty,2499
325,2010,Obion,All Incomes,4264
326,2010,Obion,<= 200% of Poverty,2766
327,2010,Obion,<= 250% of Poverty,3258
328,2010,Obion,<= 138% of Poverty,1970
329,2010,Obion,<= 400% of Poverty,3933
330,2010,Overton,All Incomes,3072
331,2010,Overton,<= 200% of Poverty,2059
332,2010,Overton,<= 250% of Poverty,2399
333,2010,Overton,<= 138% of Poverty,1501
334,2010,Overton,<= 400% of Poverty,2869
335,2010,Perry,All Incomes,1278
336,2010,Perry,<= 200% of Poverty,899
337,2010,Perry,<= 250% of Poverty,1027
338,2010,Perry,<= 138% of Poverty,679
339,2010,Perry,<= 400% of Poverty,1197
340,2010,Pickett,All Incomes,835
341,2010,Pickett,<= 200% of Poverty,578
342,2010,Pickett,<= 250% of Poverty,666
343,2010,Pickett,<= 138% of Poverty,424
344,2010,Pickett,<= 400% of Poverty,777
345,2010,Polk,All Incomes,2398
346,2010,Polk,<= 200% of Poverty,1594
347,2010,Polk,<= 250% of Poverty,1847
348,2010,Polk,<= 138% of Poverty,1162
349,2010,Polk,<= 400% of Poverty,2218
350,2010,Putnam,All Incomes,11109
351,2010,Putnam,<= 200% of Poverty,7670
352,2010,Putnam,<= 250% of Poverty,8681
353,2010,Putnam,<= 138% of Poverty,5609
354,2010,Putnam,<= 400% of Poverty,10316
355,2010,Rhea,All Incomes,4460
356,2010,Rhea,<= 200% of Poverty,2959
357,2010,Rhea,<= 250% of Poverty,3417
358,2010,Rhea,<= 138% of Poverty,2191
359,2010,Rhea,<= 400% of Poverty,4155
360,2010,Roane,All Incomes,6117
361,2010,Roane,<= 200% of Poverty,3849
362,2010,Roane,<= 250% of Poverty,4519
363,2010,Roane,<= 138% of Poverty,2707
364,2010,Roane,<= 400% of Poverty,5507
365,2010,Robertson,All Incomes,9792
366,2010,Robertson,<= 200% of Poverty,5780
367,2010,Robertson,<= 250% of Poverty,6925
368,2010,Robertson,<= 138% of Poverty,3958
369,2010,Robertson,<= 400% of Poverty,8790
370,2010,Rutherford,All Incomes,36554
371,2010,Rutherford,<= 200% of Poverty,22556
372,2010,Rutherford,<= 250% of Poverty,26517
373,2010,Rutherford,<= 138% of Poverty,15814
374,2010,Rutherford,<= 400% of Poverty,32747
375,2010,Scott,All Incomes,3325
376,2010,Scott,<= 200% of Poverty,2333
377,2010,Scott,<= 250% of Poverty,2680
378,2010,Scott,<= 138% of Poverty,1763
379,2010,Scott,<= 400% of Poverty,3131
380,2010,Sequatchie,All Incomes,2026
381,2010,Sequatchie,<= 200% of Poverty,1353
382,2010,Sequatchie,<= 250% of Poverty,1561
383,2010,Sequatchie,<= 138% of Poverty,960
384,2010,Sequatchie,<= 400% of Poverty,1856
385,2010,Sevier,All Incomes,16161
386,2010,Sevier,<= 200% of Poverty,10500
387,2010,Sevier,<= 250% of Poverty,12110
388,2010,Sevier,<= 138% of Poverty,7482
389,2010,Sevier,<= 400% of Poverty,14792
390,2010,Shelby,All Incomes,143767
391,2010,Shelby,<= 200% of Poverty,94362
392,2010,Shelby,<= 250% of Poverty,108082
393,2010,Shelby,<= 138% of Poverty,68308
394,2010,Shelby,<= 400% of Poverty,129767
395,2010,Smith,All Incomes,2762
396,2010,Smith,<= 200% of Poverty,1738
397,2010,Smith,<= 250% of Poverty,2046
398,2010,Smith,<= 138% of Poverty,1263
399,2010,Smith,<= 400% of Poverty,2519
400,2010,Stewart,All Incomes,1838
401,2010,Stewart,<= 200% of Poverty,1223
402,2010,Stewart,<= 250% of Poverty,1411
403,2010,Stewart,<= 138% of Poverty,874
404,2010,Stewart,<= 400% of Poverty,1668
405,2010,Sullivan,All Incomes,19222
406,2010,Sullivan,<= 200% of Poverty,12376
407,2010,Sullivan,<= 250% of Poverty,14399
408,2010,Sullivan,<= 138% of Poverty,9010
409,2010,Sullivan,<= 400% of Poverty,17496
410,2010,Sumner,All Incomes,21472
411,2010,Sumner,<= 200% of Poverty,12475
412,2010,Sumner,<= 250% of Poverty,14849
413,2010,Sumner,<= 138% of Poverty,8392
414,2010,Sumner,<= 400% of Poverty,18813
415,2010,Tipton,All Incomes,7541
416,2010,Tipton,<= 200% of Poverty,4637
417,2010,Tipton,<= 250% of Poverty,5442
418,2010,Tipton,<= 138% of Poverty,3331
419,2010,Tipton,<= 400% of Poverty,6727
420,2010,Trousdale,All Incomes,1180
421,2010,Trousdale,<= 200% of Poverty,768
422,2010,Trousdale,<= 250% of Poverty,896
423,2010,Trousdale,<= 138% of Poverty,553
424,2010,Trousdale,<= 400% of Poverty,1079
425,2010,Unicoi,All Incomes,2352
426,2010,Unicoi,<= 200% of Poverty,1547
427,2010,Unicoi,<= 250% of Poverty,1795
428,2010,Unicoi,<= 138% of Poverty,1126
429,2010,Unicoi,<= 400% of Poverty,2168
430,2010,Union,All Incomes,2980
431,2010,Union,<= 200% of Poverty,2021
432,2010,Union,<= 250% of Poverty,2324
433,2010,Union,<= 138% of Poverty,1462
434,2010,Union,<= 400% of Poverty,2775
435,2010,Van Buren,All Incomes,827
436,2010,Van Buren,<= 200% of Poverty,585
437,2010,Van Buren,<= 250% of Poverty,671
438,2010,Van Buren,<= 138% of Poverty,439
439,2010,Van Buren,<= 400% of Poverty,779
440,2010,Warren,All Incomes,7325
441,2010,Warren,<= 200% of Poverty,4961
442,2010,Warren,<= 250% of Poverty,5733
443,2010,Warren,<= 138% of Poverty,3558
444,2010,Warren,<= 400% of Poverty,6820
445,2010,Washington,All Incomes,15135
446,2010,Washington,<= 200% of Poverty,9639
447,2010,Washington,<= 250% of Poverty,11186
448,2010,Washington,<= 138% of Poverty,6821
449,2010,Washington,<= 400% of Poverty,13620
450,2010,Wayne,All Incomes,2232
451,2010,Wayne,<= 200% of Poverty,1528
452,2010,Wayne,<= 250% of Poverty,1759
453,2010,Wayne,<= 138% of Poverty,1092
454,2010,Wayne,<= 400% of Poverty,2082
455,2010,Weakley,All Incomes,5064
456,2010,Weakley,<= 200% of Poverty,3530
457,2010,Weakley,<= 250% of Poverty,4028
458,2010,Weakley,<= 138% of Poverty,2552
459,2010,Weakley,<= 400% of Poverty,4710
460,2010,White,All Incomes,3745
461,2010,White,<= 200% of Poverty,2530
462,2010,White,<= 250% of Poverty,2958
463,2010,White,<= 138% of Poverty,1844
464,2010,White,<= 400% of Poverty,3492
465,2010,Williamson,All Incomes,13859
466,2010,Williamson,<= 200% of Poverty,7129
467,2010,Williamson,<= 250% of Poverty,8729
468,2010,Williamson,<= 138% of Poverty,4496
469,2010,Williamson,<= 400% of Poverty,11326
470,2010,Wilson,All Incomes,12556
471,2010,Wilson,<= 200% of Poverty,6869
472,2010,Wilson,<= 250% of Poverty,8281
473,2010,Wilson,<= 138% of Poverty,4497
474,2010,Wilson,<= 400% of Poverty,10710
475,time,,IPR_DESC,NUI_PT
476,2011,Anderson,All Incomes,9447
477,2011,Anderson,<= 200% of Poverty,6201
478,2011,Anderson,<= 250% of Poverty,7169
479,2011,Anderson,<= 138% of Poverty,4522
480,2011,Anderson,<= 400% of Poverty,8660
481,2011,Bedford,All Incomes,8060
482,2011,Bedford,<= 200% of Poverty,5564
483,2011,Bedford,<= 250% of Poverty,6388
484,2011,Bedford,<= 138% of Poverty,4145
485,2011,Bedford,<= 400% of Poverty,7541
486,2011,Benton,All Incomes,2424
487,2011,Benton,<= 200% of Poverty,1638
488,2011,Benton,<= 250% of Poverty,1885
489,2011,Benton,<= 138% of Poverty,1215
490,2011,Benton,<= 400% of Poverty,2247
491,2011,Bledsoe,All Incomes,2074
492,2011,Bledsoe,<= 200% of Poverty,1471
493,2011,Bledsoe,<= 250% of Poverty,1677
494,2011,Bledsoe,<= 138% of Poverty,1074
495,2011,Bledsoe,<= 400% of Poverty,1955
496,2011,Blount,All Incomes,16424
497,2011,Blount,<= 200% of Poverty,10544
498,2011,Blount,<= 250% of Poverty,12165
499,2011,Blount,<= 138% of Poverty,7348
500,2011,Blount,<= 400% of Poverty,14981
501,2011,Bradley,All Incomes,15233
502,2011,Bradley,<= 200% of Poverty,10428
503,2011,Bradley,<= 250% of Poverty,11821
504,2011,Bradley,<= 138% of Poverty,7480
505,2011,Bradley,<= 400% of Poverty,14078
506,2011,Campbell,All Incomes,5497
507,2011,Campbell,<= 200% of Poverty,3803
508,2011,Campbell,<= 250% of Poverty,4342
509,2011,Campbell,<= 138% of Poverty,2877
510,2011,Campbell,<= 400% of Poverty,5159
511,2011,Cannon,All Incomes,1933
512,2011,Cannon,<= 200% of Poverty,1266
513,2011,Cannon,<= 250% of Poverty,1482
514,2011,Cannon,<= 138% of Poverty,930
515,2011,Cannon,<= 400% of Poverty,1791
516,2011,Carroll,All Incomes,3638
517,2011,Carroll,<= 200% of Poverty,2403
518,2011,Carroll,<= 250% of Poverty,2779
519,2011,Carroll,<= 138% of Poverty,1792
520,2011,Carroll,<= 400% of Poverty,3360
521,2011,Carter,All Incomes,8340
522,2011,Carter,<= 200% of Poverty,5709
523,2011,Carter,<= 250% of Poverty,6571
524,2011,Carter,<= 138% of Poverty,4273
525,2011,Carter,<= 400% of Poverty,7844
526,2011,Cheatham,All Incomes,5235
527,2011,Cheatham,<= 200% of Poverty,3242
528,2011,Cheatham,<= 250% of Poverty,3818
529,2011,Cheatham,<= 138% of Poverty,2236
530,2011,Cheatham,<= 400% of Poverty,4696
531,2011,Chester,All Incomes,2388
532,2011,Chester,<= 200% of Poverty,1587
533,2011,Chester,<= 250% of Poverty,1860
534,2011,Chester,<= 138% of Poverty,1152
535,2011,Chester,<= 400% of Poverty,2227
536,2011,Claiborne,All Incomes,4177
537,2011,Claiborne,<= 200% of Poverty,2853
538,2011,Claiborne,<= 250% of Poverty,3283
539,2011,Claiborne,<= 138% of Poverty,2122
540,2011,Claiborne,<= 400% of Poverty,3929
541,2011,Clay,All Incomes,1224
542,2011,Clay,<= 200% of Poverty,881
543,2011,Clay,<= 250% of Poverty,991
544,2011,Clay,<= 138% of Poverty,680
545,2011,Clay,<= 400% of Poverty,1157
546,2011,Cocke,All Incomes,5447
547,2011,Cocke,<= 200% of Poverty,3889
548,2011,Cocke,<= 250% of Poverty,4382
549,2011,Cocke,<= 138% of Poverty,3020
550,2011,Cocke,<= 400% of Poverty,5131
551,2011,Coffee,All Incomes,7630
552,2011,Coffee,<= 200% of Poverty,5109
553,2011,Coffee,<= 250% of Poverty,5854
554,2011,Coffee,<= 138% of Poverty,3813
555,2011,Coffee,<= 400% of Poverty,7066
556,2011,Crockett,All Incomes,2283
557,2011,Crockett,<= 200% of Poverty,1568
558,2011,Crockett,<= 250% of Poverty,1791
559,2011,Crockett,<= 138% of Poverty,1149
560,2011,Crockett,<= 400% of Poverty,2137
561,2011,Cumberland,All Incomes,8156
562,2011,Cumberland,<= 200% of Poverty,5510
563,2011,Cumberland,<= 250% of Poverty,6438
564,2011,Cumberland,<= 138% of Poverty,3971
565,2011,Cumberland,<= 400% of Poverty,7631
566,2011,Davidson,All Incomes,105807
567,2011,Davidson,<= 200% of Poverty,71015
568,2011,Davidson,<= 250% of Poverty,81464
569,2011,Davidson,<= 138% of Poverty,50875
570,2011,Davidson,<= 400% of Poverty,97032
571,2011,Decatur,All Incomes,1691
572,2011,Decatur,<= 200% of Poverty,1141
573,2011,Decatur,<= 250% of Poverty,1316
574,2011,Decatur,<= 138% of Poverty,842
575,2011,Decatur,<= 400% of Poverty,1560
576,2011,DeKalb,All Incomes,3172
577,2011,DeKalb,<= 200% of Poverty,2209
578,2011,DeKalb,<= 250% of Poverty,2542
579,2011,DeKalb,<= 138% of Poverty,1646
580,2011,DeKalb,<= 400% of Poverty,2989
581,2011,Dickson,All Incomes,7573
582,2011,Dickson,<= 200% of Poverty,4867
583,2011,Dickson,<= 250% of Poverty,5649
584,2011,Dickson,<= 138% of Poverty,3358
585,2011,Dickson,<= 400% of Poverty,6910
586,2011,Dyer,All Incomes,4910
587,2011,Dyer,<= 200% of Poverty,3250
588,2011,Dyer,<= 250% of Poverty,3777
589,2011,Dyer,<= 138% of Poverty,2460
590,2011,Dyer,<= 400% of Poverty,4543
591,2011,Fayette,All Incomes,4532
592,2011,Fayette,<= 200% of Poverty,2767
593,2011,Fayette,<= 250% of Poverty,3241
594,2011,Fayette,<= 138% of Poverty,1928
595,2011,Fayette,<= 400% of Poverty,3982
596,2011,Fentress,All Incomes,2639
597,2011,Fentress,<= 200% of Poverty,1896
598,2011,Fentress,<= 250% of Poverty,2153
599,2011,Fentress,<= 138% of Poverty,1449
600,2011,Fentress,<= 400% of Poverty,2493
601,2011,Franklin,All Incomes,5050
602,2011,Franklin,<= 200% of Poverty,3202
603,2011,Franklin,<= 250% of Poverty,3799
604,2011,Franklin,<= 138% of Poverty,2220
605,2011,Franklin,<= 400% of Poverty,4636
606,2011,Gibson,All Incomes,6551
607,2011,Gibson,<= 200% of Poverty,4298
608,2011,Gibson,<= 250% of Poverty,4950
